Dataset,DTW,TSF,RISE,BOSS,BOSS-E,catch22,Shapelet,Teaser,SVC,LSTM-FCN,Rocket,Hive-Cote 2,Motion Code
PDSetting1,63.35,63.98,70.81,61.8,65.53,68.94,52.8,59.94,63.96,43.48,61.49,59.63,71.12
PDSetting2,43.12,51.98,53.61,45.92,36.83,51.52,44.99,37.53,48.02,24.01,51.52,50.82,54.31
PronunciationAudio,50.0,87.5,62.5,68.75,62.5,50.0,68.75,Error,62.5,56.25,75.0,75.0,87.5
ECGFiveDays,54.47,58.07,59.35,50.06,58.42,52.85,52.61,Error,49.71,53.54,56.79,55.75,66.55
FreezerSmallTrain,52.42,54.28,53.79,50.0,50.95,53.58,50.0,50.11,50,50.0,52.67,58.18,70.25
HouseTwenty,57.98,57.14,42.02,52.1,57.98,45.38,57.14,53.78,45.38,57.98,58.82,59.66,70.59
InsectEPGRegularTrain,100.0,100.0,83.13,99.2,91.97,95.98,44.58,100,85.94,100.0,46.18,100.0,100.0
ItalyPowerDemand,57.05,68.71,65.79,52.77,53.26,55.88,62.49,63.17,49.85,61.61,70.36,72.98,72.5
Lightning7,21.92,28.77,26.03,12.33,28.77,24.66,20.55,21.92,26.03,17.81,27.4,32.88,31.51
MoteStrain,56.47,61.1,61.5,53.83,53.51,57.19,47.76,Error,50.64,56.55,68.85,56.95,72.68
PowerCons,78.33,92.22,85.56,65.56,77.22,80.0,74.44,51.11,77.78,68.33,87.22,90.0,92.78
SonyAIBORobotSurface2,63.27,67.68,69.78,48.06,61.91,64.43,69.36,68.84,61.7,63.27,74.71,78.49,75.97
UWaveGestureLibraryAll,78.25,83.67,79.79,12.23,74.87,47.38,49.5,26.52,Error,12.67,83.45,78.5,80.18
